,S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
503,504,Nalgonda,2015 - 2016,Kharif,Rice,136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,13.95,3.05
504,505,Nalgonda,2016 - 2017,Kharif,Rice,118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,3.37
505,506,Nalgonda,2017 - 2018,Kharif,Rice,122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,2.68
506,507,Nalgonda,2018 - 2019,Kharif,Rice,118.588,27.44,40.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,3.11
507,508,Nalgonda,2019 - 2020,Kharif,Rice,114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,3.45
508,509,Narayanpet,2018 - 2019,Kharif,Rice,92.66,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,2.44
509,510,Narayanpet,2019 - 2020,Kharif,Rice,98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,3.17
510,511,Nirmal,2016 - 2017,Kharif,Rice,268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,3.12
511,512,Nirmal,2017 - 2018,Kharif,Rice,160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,2.38
512,513,Nirmal,2018 - 2019,Kharif,Rice,172.76,24.1333333333333,39.9666666666667,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,3.24
513,514,Nirmal,2019 - 2020,Kharif,Rice,198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,3.65
514,515,Nizamabad,2014 - 2015,Kharif,Rice,103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,16.2275,3.6
515,516,Nizamabad,2015 - 2016,Kharif,Rice,90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,16.2275,2.59
516,517,Nizamabad,2016 - 2017,Kharif,Rice,273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,3.94
517,518,Nizamabad,2017 - 2018,Kharif,Rice,144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,3.51
518,519,Nizamabad,2018 - 2019,Kharif,Rice,168.88,24.98,40,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,4.2
519,520,Nizamabad,2019 - 2020,Kharif,Rice,255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,4.15
520,521,Peddapalli,2016 - 2017,Kharif,Rice,210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,3.79
521,522,Peddapalli,2017 - 2018,Kharif,Rice,136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,2.92
522,523,Peddapalli,2018 - 2019,Kharif,Rice,226.54,25.1,40.1666666666667,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,4
523,524,Peddapalli,2019 - 2020,Kharif,Rice,244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,3.83
524,525,Rajanna Sircilla,2016 - 2017,Kharif,Rice,218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,3.79
525,526,Rajanna Sircilla,2017 - 2018,Kharif,Rice,125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,3.1
526,527,Rajanna Sircilla,2018 - 2019,Kharif,Rice,129.3,23.9333333333333,39.2666666666667,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,3.7
527,528,Rajanna Sircilla,2019 - 2020,Kharif,Rice,236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,4.34
528,529,Rangareddy,2014 - 2015,Kharif,Rice,71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.745,2.53
529,530,Rangareddy,2015 - 2016,Kharif,Rice,96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.745,2.59
530,531,Rangareddy,2016 - 2017,Kharif,Rice,133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,2.63
531,532,Rangareddy,2017 - 2018,Kharif,Rice,161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,2.49
532,533,Rangareddy,2018 - 2019,Kharif,Rice,83.84,24.8,37.92,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,3.09
533,534,Rangareddy,2019 - 2020,Kharif,Rice,134.92,19,44.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.93,3.3
534,535,Sangareddy,2016 - 2017,Kharif,Rice,213.84,24.8,35.5,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,23.9,3.06
535,536,Sangareddy,2017 - 2018,Kharif,Rice,163.86,26.5,35.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,19.45,3.17
536,537,Sangareddy,2018 - 2019,Kharif,Rice,86.58,23.1666666666667,38.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,17.53,3.03
537,538,Sangareddy,2019 - 2020,Kharif,Rice,150.16,18.2,44.7,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,24.12,3.88
538,539,Siddipet,2016 - 2017,Kharif,Rice,187.62,26.4,37.3,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,28.74,3.06
539,540,Siddipet,2017 - 2018,Kharif,Rice,146.18,27.5,35.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.03,3.28
540,541,Siddipet,2018 - 2019,Kharif,Rice,93.34,24.4333333333333,39.1666666666667,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.68,3.3
541,542,Siddipet,2019 - 2020,Kharif,Rice,196.26,19.4,44.7,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,20.55,3.74
542,543,Suryapet,2016 - 2017,Kharif,Rice,109.5,27.2,36.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,14.86,3.37
543,544,Suryapet,2017 - 2018,Kharif,Rice,117.74,28.1,37.3,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.72,3.42
544,545,Suryapet,2018 - 2019,Kharif,Rice,124.22,25.5666666666667,39.9666666666667,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.53,3.31
545,546,Suryapet,2019 - 2020,Kharif,Rice,114.67,21.4,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.84,3.53
546,547,Vikarabad,2016 - 2017,Kharif,Rice,197.64,26.1,34.1,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,19.05,2.63
547,548,Vikarabad,2017 - 2018,Kharif,Rice,138.32,24.9,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,14.68,2.48
548,549,Vikarabad,2018 - 2019,Kharif,Rice,93.6,23.2666666666667,36.7666666666667,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.05,2.96
549,550,Vikarabad,2019 - 2020,Kharif,Rice,140.16,18.8,42.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,20.47,3.19
550,551,Wanaparthy,2016 - 2017,Kharif,Rice,114.72,26.1,35.3,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,12.14,2.8
551,552,Wanaparthy,2017 - 2018,Kharif,Rice,126.98,25.8,36.1,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,10.06,2.02
552,553,Wanaparthy,2018 - 2019,Kharif,Rice,72.24,23.9,38.1333333333333,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.32,3
553,554,Wanaparthy,2019 - 2020,Kharif,Rice,131.1,19.8,43,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.63,3.29
554,555,Warangal,2014 - 2015,Kharif,Rice,124.5,28.3,39.5,7.56,209,49,552,1.24,24.42,1.87,9.59,10.54,2.95
555,556,Warangal,2015 - 2016,Kharif,Rice,187.74,28.1,37.4,7.56,209,49,552,1.24,24.42,1.87,9.59,10.54,3.16
556,557,Warangal,2016 - 2017,Kharif,Rice,230.26,26.4,38.5,7.56,209,49,552,1.24,24.42,1.87,9.59,11.4,3.44
557,558,Warangal,2017 - 2018,Kharif,Rice,180.36,28.9,37.3,7.56,209,49,552,1.24,24.42,1.87,9.59,9.46,2.48
558,559,Warangal,2018 - 2019,Kharif,Rice,137.6,26.6,39.56,7.56,209,49,552,1.24,24.42,1.87,9.59,10.04,3.34
559,560,Warangal,2019 - 2020,Kharif,Rice,222.48,21.3,45.1,7.56,209,49,552,1.24,24.42,1.87,9.59,11.26,3.43
560,561,Hanumakonda,2016 - 2017,Kharif,Rice,267.02,27.6,38.2,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.4,3.44
561,562,Hanumakonda,2017 - 2018,Kharif,Rice,168.04,28.2,36.5,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,9.46,2.46
562,563,Hanumakonda,2018 - 2019,Kharif,Rice,138.62,25.6666666666667,39.7,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,10.04,3.5
563,564,Hanumakonda,2019 - 2020,Kharif,Rice,232.58,21.2,44.4,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.26,3.5
564,565,Yadadri Bhuvanagiri,2016 - 2017,Kharif,Rice,155.98,26.1,36.5,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,17.07,3.37
565,566,Yadadri Bhuvanagiri,2017 - 2018,Kharif,Rice,137.66,28.5,37.3,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,12.83,3.31
566,567,Yadadri Bhuvanagiri,2018 - 2019,Kharif,Rice,76.08,24.8666666666667,39.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,13.32,3.38
567,568,Yadadri Bhuvanagiri,2019 - 2020,Kharif,Rice,146.6,20,44.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,15.6,3.76
568,569,Adilabad,2014 - 2015,rabi,Groundnut,22.87142857,28.7,43.5,7.55,180,17.6,284,1.35,14,0.58,12.88,5.4725,1.91
569,570,Adilabad,2015 - 2016,rabi,Groundnut,14,29.4,44.2,7.55,180,17.6,284,1.35,14,0.58,12.88,5.4725,2.23
570,571,Adilabad,2016 - 2017,rabi,Groundnut,9.185714286,29.9,43.1,7.55,180,17.6,284,1.35,14,0.58,12.88,3.94,2.07
571,572,Adilabad,2017 - 2018,rabi,Groundnut,12.12857143,18.5,34.4,7.55,180,17.6,284,1.35,14,0.58,12.88,6.54,2.24
572,573,Adilabad,2018 - 2019,rabi,Groundnut,3.3,22.3,42.22,7.55,180,17.6,284,1.35,14,0.58,12.88,5.88,2.49
573,574,Adilabad,2019 - 2020,rabi,Groundnut,14.21428571,5,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,5.53,2.35
574,575,Bhadradri Kothagudem,2016 - 2017,rabi,Groundnut,12.21428571,30.4,42.7,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,7.1,2.22
575,576,Bhadradri Kothagudem,2017 - 2018,rabi,Groundnut,8.942857143,23.4,35.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,7.87,3.04
576,577,Bhadradri Kothagudem,2018 - 2019,rabi,Groundnut,17.9,22.0333333333333,41.7,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,7.23,2.33
577,578,Bhadradri Kothagudem,2019 - 2020,rabi,Groundnut,12.12857143,12.3,46.8,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,6.52,2.51
578,579,Jagtial,2016 - 2017,rabi,Groundnut,1.514285714,29.7,43.3,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,4.7,1.79
579,580,Jagtial,2017 - 2018,rabi,Groundnut,9.814285714,19.4,36.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,6.52,1.45
580,581,Jagtial,2018 - 2019,rabi,Groundnut,9.514285714,19.4,42.1333333333333,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,5.33,1.43
581,582,Jagtial,2019 - 2020,rabi,Groundnut,10.67142857,9.1,46.7,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,3.79,1.75
582,583,Jangoan,2016 - 2017,rabi,Groundnut,2.414285714,29.8,41.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,8.62,1.37
583,584,Jangoan,2017 - 2018,rabi,Groundnut,12.35714286,18.9,35.7,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,9.16,1.66
584,585,Jangoan,2018 - 2019,rabi,Groundnut,17.24285714,19.2666666666667,41.0666666666667,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,13.38,1.45
585,586,Jangoan,2019 - 2020,rabi,Groundnut,9.885714286,9.1,45.6,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,6.86,1.48
586,587,Jayashankar Bhoopalpally,2016 - 2017,rabi,Groundnut,5.528571429,29.5,42.7,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,7.71,2.07
587,588,Jayashankar Bhoopalpally,2017 - 2018,rabi,Groundnut,13.65714286,20.3,35.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,9.8,1.76
588,589,Jayashankar Bhoopalpally,2018 - 2019,rabi,Groundnut,13.11428571,19.6666666666667,41.5333333333333,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,9.54,2.13
589,590,Jayashankar Bhoopalpally,2019 - 2020,rabi,Groundnut,16.77142857,9.2,46.4,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,9.31,2.35
590,591,Jogulamba Gadwal,2016 - 2017,rabi,Groundnut,5.4,29.3,41.4,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,6.45,2.39
591,592,Jogulamba Gadwal,2017 - 2018,rabi,Groundnut,4.77143,22.3,34.4,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,3.94,2.83
592,593,Jogulamba Gadwal,2018 - 2019,rabi,Groundnut,8.35714,21.8666666666667,40,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,10.74,2.66
593,594,Jogulamba Gadwal,2019 - 2020,rabi,Groundnut,6.37143,14,44.2,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,7.9,2.68
594,595,Kamareddy,2016 - 2017,rabi,Groundnut,2.942857143,29.8,41.5,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,9.64,2.07
595,596,Kamareddy,2017 - 2018,rabi,Groundnut,5,18,33.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,9.92,2.23
596,597,Kamareddy,2018 - 2019,rabi,Groundnut,3.3,18.9333333333333,40.4,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,14.14,2.49
597,598,Kamareddy,2019 - 2020,rabi,Groundnut,15.51428571,9,45.9,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,8.31,2.35
598,599,Karimnagar,2014 - 2015,rabi,Groundnut,15.62857143,28.2,44.2,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,6.5,2.07
599,600,Karimnagar,2015 - 2016,rabi,Groundnut,14,28.4,44.3,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,6.5,1.46
600,601,Karimnagar,2016 - 2017,rabi,Groundnut,3.3,29.8,42.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,5.94,2.41
601,602,Karimnagar,2017 - 2018,rabi,Groundnut,7.771428571,19,34.8,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,8.04,1.48
602,603,Karimnagar,2018 - 2019,rabi,Groundnut,12.34285714,23.22,42.22,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,8.49,2.7
603,604,Karimnagar,2019 - 2020,rabi,Groundnut,12.12857143,10.7,45.1,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,3.53,1.67
604,605,Khammam,2014 - 2015,rabi,Groundnut,11.77142857,28.2,43.6,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,4.60833333333333,1.9
605,606,Khammam,2015 - 2016,rabi,Groundnut,20.14285714,28.2,43.7,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,4.60833333333333,2.74
606,607,Khammam,2016 - 2017,rabi,Groundnut,14.81904762,29.6,42.3,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,5.62,1.56
607,608,Khammam,2017 - 2018,rabi,Groundnut,17.70357143,23.1,35.7,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,4.85,2.12
608,609,Khammam,2018 - 2019,rabi,Groundnut,16.71428571,24.74,42.16,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,5.39,2.23
609,610,Khammam,2019 - 2020,rabi,Groundnut,21.10952381,14.6,45.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,1.47
610,611,Komaram bheem asifabad,2016 - 2017,rabi,Groundnut,7.185714286,30.1,42.9,7.6,155,15.6,285,0.49,15.62,0.39,15.21,6.3,2.06
611,612,Komaram bheem asifabad,2017 - 2018,rabi,Groundnut,12.31428571,18.2,34.7,7.6,155,15.6,285,0.49,15.62,0.39,15.21,7.47,2.195
612,613,Komaram bheem asifabad,2018 - 2019,rabi,Groundnut,11.25714286,18.3,41.0333333333333,7.6,155,15.6,285,0.49,15.62,0.39,15.21,6.95,2.195
613,614,Komaram bheem asifabad,2019 - 2020,rabi,Groundnut,19.85714286,6.6,45.5,7.6,155,15.6,285,0.49,15.62,0.39,15.21,6.14,2.33
614,615,Mahabubabad,2016 - 2017,rabi,Groundnut,6.642857143,29.6,42.9,7.6,260,20,330,1.56,17.3,3.92,17.5,4.77,1.3
615,616,Mahabubabad,2017 - 2018,rabi,Groundnut,9.657142857,21.3,37.2,7.6,260,20,330,1.56,17.3,3.92,17.5,5.39,1.51
616,617,Mahabubabad,2018 - 2019,rabi,Groundnut,13.18571429,21.0666666666667,41.7333333333333,7.6,260,20,330,1.56,17.3,3.92,17.5,6.94,1.6
617,618,Mahabubabad,2019 - 2020,rabi,Groundnut,9.1,12.3,45.1,7.6,260,20,330,1.56,17.3,3.92,17.5,4.23,1.75
618,619,Mahabubnagar,2014 - 2015,rabi,Groundnut,16.18571429,27.4,41.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.6775,2.05
619,620,Mahabubnagar,2015 - 2016,rabi,Groundnut,12.75714286,28.5,43.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.6775,1.61
620,621,Mahabubnagar,2016 - 2017,rabi,Groundnut,9.7,30,41.9,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.49,1.85
621,622,Mahabubnagar,2017 - 2018,rabi,Groundnut,8.757142857,20.9,34,7.5,97,35.02,268,0.75,9.8,0.71,8.8,10.66,2.34
622,623,Mahabubnagar,2018 - 2019,rabi,Groundnut,6.914285714,23.68,41.36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,15.05,2.24
623,624,Mahabubnagar,2019 - 2020,rabi,Groundnut,14.37142857,11.6,45.4,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.51,2.1
624,625,Mancherial,2016 - 2017,rabi,Groundnut,9.6,31.2,43.5,7.52,128,49.4,238,1.65,11.58,2.2,16,3.89,2.07
625,626,Mancherial,2017 - 2018,rabi,Groundnut,5.85714,19.2,35.4,7.52,128,49.4,238,1.65,11.58,2.2,16,6.01,2.24
626,627,Mancherial,2018 - 2019,rabi,Groundnut,11,19.8333333333333,41.7,7.52,128,49.4,238,1.65,11.58,2.2,16,5.08,2.49
627,628,Mancherial,2019 - 2020,rabi,Groundnut,9.77143,9.1,46.2,7.52,128,49.4,238,1.65,11.58,2.2,16,3.63,2.35
628,629,Medak,2014 - 2015,rabi,Groundnut,24.7,27.1,42.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,15.4875,1.2
629,630,Medak,2015 - 2016,rabi,Groundnut,10.3,27.8,43.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,15.4875,0.9
630,631,Medak,2016 - 2017,rabi,Groundnut,3.2,27.8,40.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,11.74,2.07
631,632,Medak,2017 - 2018,rabi,Groundnut,5.1,19.1,34.7,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,13.95,2.23
632,633,Medak,2018 - 2019,rabi,Groundnut,5.5,22.36,41.06,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,20.71,2.49
633,634,Medak,2019 - 2020,rabi,Groundnut,13.1,10,44.4,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,15.55,2.31
638,639,Mulug,2018 - 2019,rabi,Groundnut,13.40571429,10.5,44.5,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,7.06,2.12
639,640,Mulug,2019 - 2020,rabi,Groundnut,14.37142857,10.5,44.5,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,5.54,1.81
640,641,Nagarkurnool,2016 - 2017,rabi,Groundnut,7.31429,28.7,41.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.84,2.28
641,642,Nagarkurnool,2017 - 2018,rabi,Groundnut,7.85714,20.8,34.1,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,11.62,2.32
642,643,Nagarkurnool,2018 - 2019,rabi,Groundnut,8.35714,20.2333333333333,40.2666666666667,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.07,2.46
643,644,Nagarkurnool,2019 - 2020,rabi,Groundnut,7.3,11.2,45,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,9.5,2.15
644,645,Nalgonda,2014 - 2015,rabi,Groundnut,7.042857143,29.1,45,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,9.5525,1.29
645,646,Nalgonda,2015 - 2016,rabi,Groundnut,14.55714286,29.3,43.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,9.5525,1.05
646,647,Nalgonda,2016 - 2017,rabi,Groundnut,13.94761905,30,42.6,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,8.06,1.31
647,648,Nalgonda,2017 - 2018,rabi,Groundnut,15.23928571,23.3,36.3,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,8.64,1.99
648,649,Nalgonda,2018 - 2019,rabi,Groundnut,13.96571429,24.82,42.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.93,1.69
649,650,Nalgonda,2019 - 2020,rabi,Groundnut,14.25714286,12.4,46.7,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,8.58,1.7
650,651,Narayanpet,2018 - 2019,rabi,Groundnut,13.28285714,13.2,44.5,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,13.2,2.23
651,652,Narayanpet,2019 - 2020,rabi,Groundnut,12.23333333,13.2,44.5,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,9.44,2.08
652,653,Nirmal,2016 - 2017,rabi,Groundnut,2.514285714,29,42.3,7.45,178,19.7,331,0.35,19.1,0.99,10.36,5.58,2.07
653,654,Nirmal,2017 - 2018,rabi,Groundnut,12.34285714,18.5,35.6,7.45,178,19.7,331,0.35,19.1,0.99,10.36,9.42,2.24
654,655,Nirmal,2018 - 2019,rabi,Groundnut,4.214285714,18.4,41.4333333333333,7.45,178,19.7,331,0.35,19.1,0.99,10.36,8.96,2.49
655,656,Nirmal,2019 - 2020,rabi,Groundnut,6.257142857,7.7,46.4,7.45,178,19.7,331,0.35,19.1,0.99,10.36,6.29,2.34
656,657,Nizamabad,2014 - 2015,rabi,Groundnut,24.1833,27.9,43.7,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,8.4475,2.87
657,658,Nizamabad,2015 - 2016,rabi,Groundnut,10.05,29.4,44.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,8.4475,2.66
658,659,Nizamabad,2016 - 2017,rabi,Groundnut,3.03333,29.9,43,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,6.7,2.07
659,660,Nizamabad,2017 - 2018,rabi,Groundnut,8.15,19.4,35.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,9.33,2.24
660,661,Nizamabad,2018 - 2019,rabi,Groundnut,3.16667,23.5,42.52,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,11.28,2.49
661,662,Nizamabad,2019 - 2020,rabi,Groundnut,11.0167,10.9,45.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,6.48,2.31
662,663,Peddapalli,2016 - 2017,rabi,Groundnut,4.942857143,30.2,42.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,6.06,2.07
663,664,Peddapalli,2017 - 2018,rabi,Groundnut,10.34285714,19.5,35.8,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.95,2.24
664,665,Peddapalli,2018 - 2019,rabi,Groundnut,10.68571429,20.1,41.5666666666667,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,7.31,2.5
665,666,Peddapalli,2019 - 2020,rabi,Groundnut,9.585714286,10.6,46,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,5.32,2.33
666,667,Rajanna Sircilla,2016 - 2017,rabi,Groundnut,3.414285714,28.5,42.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,7.19,2.07
667,668,Rajanna Sircilla,2017 - 2018,rabi,Groundnut,9.071428571,17.6,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,12.29,2.23
668,669,Rajanna Sircilla,2018 - 2019,rabi,Groundnut,9.985714286,18.6,41.4666666666667,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.18,2.49
669,670,Rajanna Sircilla,2019 - 2020,rabi,Groundnut,14.82857143,9.7,45.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,5.61,2.31
670,671,Rangareddy,2014 - 2015,rabi,Groundnut,19.75714286,27.6,41.4,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,13.7275,1.6
671,672,Rangareddy,2015 - 2016,rabi,Groundnut,16.98571429,27.4,43.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,13.7275,1.21
672,673,Rangareddy,2016 - 2017,rabi,Groundnut,6.842857143,28,40.7,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,14.12,2.07
673,674,Rangareddy,2017 - 2018,rabi,Groundnut,11.92857143,22.2,35.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,9.78,3.02
674,675,Rangareddy,2018 - 2019,rabi,Groundnut,9.842857143,23.3,40.8,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.55,2.71
675,676,Rangareddy,2019 - 2020,rabi,Groundnut,10.14285714,11.3,43.7,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,13.46,4
676,677,Sangareddy,2016 - 2017,rabi,Groundnut,2.414285714,29.6,42.1,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,11.21,2.07
677,678,Sangareddy,2017 - 2018,rabi,Groundnut,8.1,18.9,33.1,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,11.11,2.24
